Config,Model,Layers (Base / Large),Base_Acc,Base_F1,Base_Spk_Acc,Base_Spk_Vote,Large_Acc,Large_F1,Large_Spk_Acc,Large_Spk_Vote
MIX -> EN,SVM-RBF,L7 / L14,0.6639072847682119,0.5223529411764706,0.0,-,0.7056291390728476,0.5389004149377593,0.0,-
MIX -> EN,GRU,L7 / L14,0.5217391304347826,0.2666666666666666,0.5217391304347826,-,0.2608695652173913,0.4137931034482758,0.2608695652173913,-
MIX -> EN,CLeaD,L7 / L14,0.6392384105960265,0.4523749685850716,0.0,-,0.6778145695364238,0.4564245810055866,0.0,-
MIX -> EN,CLeaD w/o SupCon,L7 / L14,0.6458609271523179,0.4195386702849389,0.0,-,0.6983443708609272,0.4502112251056125,0.0,-
MIX -> ZH,LR,L7 / L14,0.5472013366750209,0.5311418685121108,0.9,"4/5 MDD, 5/5 HC",0.4415204678362573,0.3182049974502804,0.5,"1/5 MDD, 4/5 HC"
MIX -> ZH,SVM-Linear,L7 / L14,0.4899749373433584,0.4698219713417282,0.6,"2/5 MDD, 4/5 HC",0.4369256474519632,0.3219315895372233,0.5,"1/5 MDD, 4/5 HC"
MIX -> ZH,SVM-RBF,L7 / L14,0.5196324143692564,0.4390243902439024,0.7,"2/5 MDD, 5/5 HC",0.4511278195488721,0.2748344370860927,0.4,"0/5 MDD, 4/5 HC"
MIX -> ZH,GRU,L7 / L14,0.7,0.5714285714285714,0.7,"2/5 MDD, 5/5 HC",0.5,0.6666666666666666,0.5,"5/5 MDD, 0/5 HC"
MIX -> ZH,CLeaD,L7 / L14,0.5317460317460317,0.4860155891792755,0.8,"4/5 MDD, 4/5 HC",0.4490392648287385,0.2415181138585393,0.4,"0/5 MDD, 4/5 HC"
MIX -> ZH,CLeaD w/o SupCon,L7 / L14,0.5192147034252298,0.4201511335012594,0.6,"1/5 MDD, 5/5 HC",0.4548872180451128,0.2721695482431678,0.4,"0/5 MDD, 4/5 HC"
EN -> EN,LR,L8 / L16,0.6846026490066225,0.6139817629179332,0.0,-,0.7130794701986755,0.6251351935972312,0.0,-
EN -> EN,SVM-Linear,L8 / L16,0.6832781456953643,0.6261481336720734,0.0,-,0.7172185430463576,0.6444629475437136,0.0,-
EN -> EN,SVM-RBF,L8 / L16,0.6596026490066225,0.5586088449978531,0.0,-,0.7245033112582782,0.5574468085106383,0.0,-
EN -> EN,GRU,L8 / L16,0.6521739130434783,0.5,0.6521739130434783,-,0.5652173913043478,0.375,0.5652173913043478,-
